,Geo,Name,Website,Wiki
38,,No Show Museum,http://www.noshowmuseum.com/,/wiki/No_Show_Museum
39,"(Decimal('-28.743611109999999797537384438328444957733154296875'), Decimal('24.768888889999999491919879801571369171142578125'))",William Humphreys Art Gallery,,/wiki/William_Humphreys_Art_Gallery
40,"(Decimal('-31.86749999999999971578290569595992565155029296875'), Decimal('24.5527777799999995522739482112228870391845703125'))",The Owl House,,/wiki/The_Owl_House
41,"(Decimal('-33.9655709999999970705175655893981456756591796875'), Decimal('25.6113390000000009649738785810768604278564453125'))",Nelson Mandela Metropolitan Art Museum,http://www.artmuseum.co.za/,/wiki/Nelson_Mandela_Metropolitan_Art_Museum
42,,Pretoria Art Museum,http://www.pretoriaartmuseum.co.za/,/wiki/Pretoria_Art_Museum
43,"(Decimal('-25.75361111000000136073140311054885387420654296875'), Decimal('28.2297222199999993108576745726168155670166015625'))",Edoardo Villa Museum,http://www.up.ac.za/,/wiki/Edoardo_Villa_Museum
44,,Van Tilburg Collection,,/wiki/Van_Tilburg_Collection
45,,Van Wouw Museum,,/wiki/Van_Wouw_Museum
46,"(Decimal('35.5962430000000011887095752172172069549560546875'), Decimal('10.0569000000000006167510946397669613361358642578125'))",Raqqada,,/wiki/Raqqada
47,"(Decimal('-17.82527778000000040492523112334311008453369140625'), Decimal('31.04888889000000062878825701773166656494140625'))",National Gallery of Zimbabwe,http://nationalgallery.co.zw/,/wiki/National_Gallery_of_Zimbabwe
48,"(Decimal('24.77029999999999887450030655600130558013916015625'), Decimal('90.3950999999999993406163412146270275115966796875'))",Zainul Gallery,,/wiki/Zainul_Gallery
49,"(Decimal('23.734500000000000596855898038484156131744384765625'), Decimal('90.4044999999999987494447850622236728668212890625'))",National Art Gallery (Bangladesh),,/wiki/National_Art_Gallery_(Bangladesh)
50,,Jiraz Art Gallery,,/wiki/Jiraz_Art_Gallery
51,"(Decimal('39.915987000000001216903910972177982330322265625'), Decimal('116.3979250000000007503331289626657962799072265625'))",Palace Museum,https://en.dpm.org.cn/,/wiki/Palace_Museum
52,"(Decimal('40.007777779999997846971382386982440948486328125'), Decimal('116.5341666700000047285357140935957431793212890625'))",Guanfu Museum,http://www.guanfumuseum.org.cn/,/wiki/Guanfu_Museum
53,"(Decimal('39.92361111000000306603396893478929996490478515625'), Decimal('116.4027777799999938679320621304214000701904296875'))",National Art Museum of China,http://www.namoc.org/en/,/wiki/National_Art_Museum_of_China
54,"(Decimal('39.89999999999999857891452847979962825775146484375'), Decimal('116.4676999999999935653249849565327167510986328125'))",Today Art Museum,http://www.todayartmuseum.com/,/wiki/Today_Art_Museum
55,"(Decimal('39.945833329999999250503606162965297698974609375'), Decimal('116.3052777799999972785371937789022922515869140625'))",Beijing Art Museum,,/wiki/Beijing_Art_Museum
56,"(Decimal('39.9115139999999968267729855142533779144287109375'), Decimal('116.321246999999999616193235851824283599853515625'))",Beijing World Art Museum,,/wiki/Beijing_World_Art_Museum
57,,Pékin Fine Arts,,/wiki/P%C3%A9kin_Fine_Arts
58,"(Decimal('39.905000000000001136868377216160297393798828125'), Decimal('116.3359999999999985220711096189916133880615234375'))",Capital Museum,http://www.capitalmuseum.org.cn/,/wiki/Capital_Museum
59,"(Decimal('30.253333330000000245263436227105557918548583984375'), Decimal('120.13861110999999937121174298226833343505859375'))",Zhejiang Provincial Museum,,/wiki/Zhejiang_Provincial_Museum
60,"(Decimal('22.29354722000000066373104345984756946563720703125'), Decimal('114.1720250000000049794834922067821025848388671875'))",Hong Kong Museum of Art,,/wiki/Hong_Kong_Museum_of_Art
61,,M+,http://westkowloon.hk/en/mplus,/wiki/M%2B
62,,Tsui Museum of Art,,/wiki/Tsui_Museum_of_Art
63,"(Decimal('22.28398899999999827059582457877695560455322265625'), Decimal('114.1393039999999956535248202271759510040283203125'))","University Museum and Art Gallery, Hong Kong",,"/wiki/University_Museum_and_Art_Gallery,_Hong_Kong"
64,"(Decimal('22.27680000000000148929757415316998958587646484375'), Decimal('114.1593299999999970850694808177649974822998046875'))",Hong Kong Visual Arts Centre,,/wiki/Hong_Kong_Visual_Arts_Centre
65,,Nanjing 4Cube Museum of Contemporary Art,,/wiki/Nanjing_4Cube_Museum_of_Contemporary_Art
66,,Jiangsu Provincial Art Museum,,/wiki/Jiangsu_Provincial_Art_Museum
67,,Shanghai Museum,http://www.shanghaimuseum.net/,/wiki/Shanghai_Museum
68,"(Decimal('31.232614999999999128021954675205051898956298828125'), Decimal('121.4662090000000063128027250058948993682861328125'))",Shanghai Art Museum,http://www.sh-artmuseum.org.cn/,/wiki/Shanghai_Art_Museum
69,,Museum of Contemporary Art Shanghai,http://www.mocashanghai.org/,/wiki/Museum_of_Contemporary_Art_Shanghai
70,"(Decimal('31.242999999999998550492819049395620822906494140625'), Decimal('121.4843000000000046156856114976108074188232421875'))",Rockbund Art Museum,,/wiki/Rockbund_Art_Museum
71,,Long Museum,http://www.thelongmuseum.org/en/,/wiki/Long_Museum
72,"(Decimal('31.18599999999999994315658113919198513031005859375'), Decimal('121.4899999999999948840923025272786617279052734375'))",China Art Museum,http://www.sh-artmuseum.org.cn/,/wiki/China_Art_Museum
73,"(Decimal('31.20111110999999937121174298226833343505859375'), Decimal('121.497777780000006941918400116264820098876953125'))",Power Station of Art,http://www.powerstationofart.org/,/wiki/Power_Station_of_Art
74,"(Decimal('31.3252039999999993824530974961817264556884765625'), Decimal('120.623525999999998248313204385340213775634765625'))",Suzhou Museum,,/wiki/Suzhou_Museum
75,"(Decimal('34.78949999999999675992512493394315242767333984375'), Decimal('113.666100000000000136424205265939235687255859375'))",Henan Museum,http://www.chnmus.net/,/wiki/Henan_Museum
76,,Lalbhai Dalpatbhai Museum,http://www.ldmuseum.co.in/,/wiki/Lalbhai_Dalpatbhai_Museum
77,"(Decimal('23.013055560000001520393198006786406040191650390625'), Decimal('72.5694444399999980532811605371534824371337890625'))",Sanskar Kendra,,/wiki/Sanskar_Kendra
78,"(Decimal('25.4551000000000016143530956469476222991943359375'), Decimal('81.8461999999999960664354148320853710174560546875'))",Allahabad Museum,http://theallahabadmuseum.com/,/wiki/Allahabad_Museum
79,,"National Gallery of Modern Art, Bangalore",http://ngmaindia.gov.in/ngma_bangaluru.asp,"/wiki/National_Gallery_of_Modern_Art,_Bangalore"
80,"(Decimal('23.2469999999999998863131622783839702606201171875'), Decimal('77.392300000000005866240826435387134552001953125'))",Bharat Bhavan,http://bharatbhawan.org/index.html,/wiki/Bharat_Bhavan
81,"(Decimal('20.25619999999999976125764078460633754730224609375'), Decimal('85.84149999999999636202119290828704833984375'))",Odisha State Museum,https://web.archive.org/web/20130206084619/http://orissamuseum.nic.in/,/wiki/Odisha_State_Museum
